2026-04-20T07:37:21.889660Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.889891Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890008Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890107Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890215Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890312Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
standalone | Starting Airflow Standalone
api-server | 2026-04-20T07:46:11.183948Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7639 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:11.278560Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=18494 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:11.280795Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=17193 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:11.385871Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3929 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:11.454886Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=8342 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:11.509766Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9684 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:11.526374Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11571 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:12.056022Z [info     ] request finished               [http.access] client_addr=127.0.0.1:57346 duration_us=6185 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:46:13.768602Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7064 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
dag-processor | 2026-04-20T07:46:13.803713Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:46:14.231991Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9593 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:14.336021Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=17409 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:14.336618Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=15314 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:14.426032Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3523 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:14.501566Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=6855 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:14.578956Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=25787 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:14.602481Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=40865 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:16.768987Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10006 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:17.068340Z [info     ] request finished               [http.access] client_addr=127.0.0.1:57360 duration_us=5397 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:46:17.284175Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8097 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:17.391880Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=14925 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:17.396559Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=17958 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:17.487072Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=17495 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:17.553585Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10174 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:17.627193Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9772 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:17.652294Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=14397 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:46:18.835520Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:46:19.766080Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7384 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:20.329494Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7869 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:20.449839Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=18299 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:20.450638Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=21250 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:20.530826Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=3590 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:20.600391Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6927 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:20.672118Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9228 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:20.696838Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=11315 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:22.081911Z [warning  ] The HMAC key is 24 bytes long, which is below the minimum recommended length of 64 bytes for SHA512. See RFC 7518 Section 3.2. [py.warnings] category=InsecureKeyLengthWarning filename=/workspaces/biomonitor-capstone/.venv/lib/python3.13/site-packages/jwt/api_jwt.py lineno=147
api-server | 2026-04-20T07:46:22.083018Z [info     ] request finished               [http.access] client_addr=127.0.0.1:53448 duration_us=8132 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:46:22.767982Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7105 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:23.372279Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=8156 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:23.500880Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=15157 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:23.505454Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=15455 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:23.568235Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=3555 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:23.650635Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10873 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:23.719977Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12479 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:23.744392Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13598 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:46:23.863031Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:46:25.789357Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=28885 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:26.416683Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9878 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:26.559223Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=18882 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:26.563046Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=24203 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:26.606252Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=3436 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:26.697175Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6669 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:26.764779Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10131 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:26.791086Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12384 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:27.118587Z [info     ] request finished               [http.access] client_addr=127.0.0.1:53462 duration_us=33714 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:46:28.766449Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=8248 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
dag-processor | 2026-04-20T07:46:28.894258Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:46:29.463580Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7818 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:29.612237Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=15691 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:29.613057Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=19329 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:29.646853Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=4485 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:29.746352Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=10072 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:29.813137Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=14790 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:29.837348Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12294 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
triggerer  | 2026-04-20T07:46:30.723627Z [info     ] 0 triggers currently running   [airflow.jobs.triggerer_job_runner] loc=triggerer_job_runner.py:796
triggerer  | 2026-04-20T07:46:30.723743Z [info     ] 0 watchers currently running   [airflow.jobs.triggerer_job_runner] loc=triggerer_job_runner.py:796
api-server | 2026-04-20T07:46:31.765048Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=8161 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:32.126658Z [info     ] request finished               [http.access] client_addr=127.0.0.1:58966 duration_us=5730 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:46:32.533342Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=29405 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:32.668634Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=17908 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:32.672689Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=18652 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:32.687552Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=3196 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:32.792703Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6941 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:32.861634Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12255 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:32.886438Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=14807 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:46:33.920646Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle       File Path               PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | -----------  ----------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | dags-folder  biomonitor_pipeline.py                                    1           0  0.04s            2026-04-20T07:46:03
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:46:33.921508Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:46:33.968213Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:46:33.970281Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:46:33.970407Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
api-server | 2026-04-20T07:46:34.775295Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=11364 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:35.595812Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=21109 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:35.744060Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=16020 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:35.748104Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=30339 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:35.761598Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=50248 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:35.846884Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=10245 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:35.925602Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=23395 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:35.956894Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=21766 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:37.159942Z [info     ] request finished               [http.access] client_addr=127.0.0.1:58982 duration_us=25282 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:46:37.767769Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7074 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:38.640292Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7927 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:38.782148Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4052 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:38.794004Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=8599 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:38.807716Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10098 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:38.894315Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7977 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:38.977046Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9463 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
dag-processor | 2026-04-20T07:46:38.998290Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:46:39.006414Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=12544 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:40.773287Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=10813 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A45%3A40.719422%2B00%3A00&run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:46:41.687542Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=8453 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:41.822922Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60072 duration_us=3485 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:46:41.849548Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=15313 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:46:41.858813Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12183 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:46:41.939143Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6643 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:46:42.023840Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10522 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:46:42.059737Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=16414 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:46:42.174206Z [info     ] request finished               [http.access] client_addr=127.0.0.1:43670 duration_us=7511 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
